iter	Passed	Remaining
0	0	51
1	0	48
2	1	42
3	1	47
4	2	48
5	3	49
6	3	50
7	4	52
8	5	54
9	6	54
10	6	54
11	7	53
12	7	52
13	8	51
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	46
20	12	46
21	12	45
22	13	44
23	13	43
24	14	43
25	14	42
26	15	41
27	15	40
28	16	40
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	25	28
47	26	28
48	26	27
49	26	26
50	27	26
51	27	25
52	28	24
53	28	24
54	28	23
55	29	23
56	29	22
57	30	21
58	30	21
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	34	14
70	35	14
71	35	13
72	35	13
73	36	12
74	36	12
75	36	11
76	37	11
77	37	10
78	38	10
79	38	9
80	38	9
81	39	8
82	39	8
83	39	7
84	39	7
85	40	6
86	40	6
87	40	5
88	41	5
89	41	4
90	41	4
91	42	3
92	42	3
93	42	2
94	42	2
95	43	1
96	43	1
97	43	0
98	43	0
99	44	0
